ID,SITE,STRAT,UNIT,NAMED_ID,OTHERUNIT,RAWMATERIAL,CORTEX,CORTEXTYPE,ARTIFACTCLASS,COMPLETENESS,CORECOMPLETENESS,RETOUCHEDPIECETYPOLOGY,RETOUCHTYPE,RETOUCHFACE,RETOUCHREGIONNUMBER,RETOUCHREGIONLOCATION,LENGTHLONGESTRETOUCH,RETOUCHINVASIVENESS,EDGETHICKNESS_1,EDGETHICKNESS_2,EDGETHICKNESS_3,BACKEDTOOLEDGE_1,BACKEDTOOLEDGE_2,BACKEDTOOLEDGE_3,BACKEDTOOLWIDTH_1,BACKEDTOOLWIDTH_2,BACKEDTOOLWIDTH_3,BACKEDTOOLTHICKNESS_1,BACKEDTOOLTHICKNESS_2,BACKEDTOOLTHICKNESS_3,BACKEDTOOLARRIS,PLATFORM,FLAKEINITIATION,FLAKETERMINATION,PIECEBLANK,SCRAPERMAXTHICKNESS,SCRAPERRETOUCHLENGTH,SCRAPERRETOUCHANGLE1,SCRAPERRETOUCHANGLE2,SCRAPERRETOUCHANGLE3,SCRAPERDORSALANGLE1,SCRAPERDORSALANGLE2,SCRAPERDORSALANGLE3,SCRAPERRETOUCHHEIGHT1,SCRAPERRETOUCHHEIGHT2,SCRAPERRETOUCHHEIGHT3,FLAKEGEOMETRY,PLATFORMPREP,PLATABRASION,PLATFORMWIDTH,PLATFORMTHICKNESS,STAGE,CONARDUNIFIEDTYPE,CORESUBTYPOLOGY,COREBLANKSPHERICITY,COREPLATFACETED,SCARCOUNT,EXPLOITEDFACES,FLAKEGENERATIONSLENGTH,FLAKEGENERATIONSWIDTH,FLAKEGENERATIONSTHICKNESS,LENGHTLONGESTFLAKESCAR,MAXLENGTH,TECHLENGTH,MAXWIDTH,TECHWIDTH,MAXTHICKNESS,MASS,COMMMENTS,PHOTO,
21,SBF,2,K4,VT,,Opaline/CCS,0%,,Core,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bipolar,CoreReducedPiece,Cubic,0%,5,2,0,0,10,22.72,28.63,26.8,18.68,18.68,6.31,2.84,,,
22,SBF,2,K4,VT,,Quartz,1-10%,Outcrop,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,18.51,5.42,CoreMaintenance,,,,,,,,,,,8.14,8.14,18.47,18.47,5.81,1.23,,,
23,SBF,2,K4,VT,,Quartz,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,Bipolar,,,,,,,,,,,,,TRIANGULAR,ResidualFacetWithBulb,No,9.94,3.98,Main,,,,,,,,,,,10.53,10.53,11.3,11.3,3.8,0.4,Step fracture at the distal end,,
24,SBF,2,K4,VT,,Quartz,0%,,Flake,Fragment,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,13.7,4.06,,,,,,,,,,,,11.41,,17.87,,4.88,0.73,,,
25,SBF,2,K5,MIDDEN SPARROW,,Quartzite,0%,,RetouchedTool,Complete,,MinimallyRetouched,MarginalEdgeShaping,Dorsal,2,34,1.75,1,1.17,1.61,1.44,,,,,,,,,,,,,,Flake,,,,,,,,,,,,TRIANGULAR,,,,,Main,,,,,,,,,,,19.06,14.34,15.41,15.41,6.37,1.88,,,
26,SBF,2,K5,MIDDEN SPARROW,,Quartzite,0%,,RetouchedTool,Complete,,MinimallyRetouched,MarginalEdgeShaping,Both,4,3456,5.52,1,6.7,5.26,4.25,,,,,,,,,,,,,,Indeterminate,,,,,,,,,,,,RECTANGULAR,,,,,Main,,,,,,,,,,,41.76,41.76,28.37,28.37,14.88,22.29,Could have immense retouch on one edge. It is worn down,,
27,SBF,2,K5,MIDDEN SPARROW,,Quartzite,0%,,Core,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inclined,Radial,Cubic,0%,5,4,1,5,4,24.96,58.21,55.91,31.75,28.1,14.9,33.41,,,
28,SBF,2,K5,MIDDEN SPARROW,,Quartz,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Hinge,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,7.54,4.05,Main,,,,,,,,,,,15.1,15.1,8.27,8.27,3.42,0.63,,,
29,SBF,2,K5,MIDDEN SPARROW,,Quartz,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,9.94,3.2,Main,,,,,,,,,,,11.53,7.02,14.54,14.54,3.19,0.51,,,
30,SBF,2,K5,MIDDEN SPARROW,,Quartzite,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,Hinge,,,,,,,,,,,,,TRAPEZOIDAL,NotPrepared,Yes,24.28,5.71,Main,,,,,,,,,,,15.91,14.56,24.04,15.16,4.22,1.56,,,
